Ridgerunner 2.3.1
Built Sep 13 2026, 00:43:43.
plCurve Version: 10.1.0
Octrope Version: 10.1.0
tsnnls Version: 2.5.1
Seeded from dev/random with seed 715574818.
Loaded 1 component, 400 vertex plCurve from trefoil400.vect.
Saved copy of trefoil400.vect to ./trefoil400.rr/trefoil400.vect.
Curve has thickness 0.99995. Scaling to thickness 0.501.
Scaled curve has thickness 0.501.
 Autoscale selftest ok.
Rerez'd, autoscaled, eq'd file written to ./trefoil400.rr/trefoil400.atstart.vect.
Overstep tolerance: 0.000100 of thickness 0.500000 (0.499950) minminrad: 0.49997500
ridgerunner: Curses screen display disabled, using stdout.
             Define CURSES_DISPLAY to enable better screen display.
ridgerunner: Starting run. Will stop if 
               step number >= 1000 
               residual < 0 
               ropelength decrease over last 20 steps < -1000.

   1 Rop: 32.77337349619 Str:   5 MRstruts:   0 Thi: 0.4999947 
   2 Rop: 32.77304108090 Str:  18 MRstruts:   0 Thi: 0.4999947 
   3 Rop: 32.77270339581 Str:  32 MRstruts:   0 Thi: 0.4999946 
   4 Rop: 32.77239627088 Str:  55 MRstruts:   0 Thi: 0.4999945 
   5 Rop: 32.77183387563 Str:  73 MRstruts:   0 Thi: 0.4999945 
   6 Rop: 32.77065167471 Str:  91 MRstruts:   0 Thi: 0.4999944 
   7 Rop: 32.77043395603 Str: 102 MRstruts:   0 Thi: 0.4999944 
   8 Rop: 32.77022279611 Str: 112 MRstruts:   0 Thi: 0.4999945 
   9 Rop: 32.76998006239 Str: 121 MRstruts:   0 Thi: 0.4999945 
  10 Rop: 32.76967699487 Str: 132 MRstruts:   0 Thi: 0.4999945 
  11 Rop: 32.76931522342 Str: 143 MRstruts:   0 Thi: 0.4999944 
  12 Rop: 32.76908019148 Str: 150 MRstruts:   0 Thi: 0.4999944 
  13 Rop: 32.76872509293 Str: 165 MRstruts:   0 Thi: 0.4999944 
  14 Rop: 32.76850236372 Str: 169 MRstruts:   0 Thi: 0.4999943 
  15 Rop: 32.76827141562 Str: 177 MRstruts:   0 Thi: 0.4999943 
  16 Rop: 32.76794086795 Str: 188 MRstruts:   0 Thi: 0.4999943 
  17 Rop: 32.76772799614 Str: 190 MRstruts:   0 Thi: 0.4999943 
  18 Rop: 32.76740725301 Str: 200 MRstruts:   0 Thi: 0.4999943 
  19 Rop: 32.76717107934 Str: 212 MRstruts:   0 Thi: 0.4999943 
  20 Rop: 32.76685807859 Str: 222 MRstruts:   0 Thi: 0.4999943 
  21 Rop: 32.76661072809 Str: 233 MRstruts:   0 Thi: 0.4999943 
  22 Rop: 32.76637608696 Str: 239 MRstruts:   0 Thi: 0.4999943 
  23 Rop: 32.76601926553 Str: 253 MRstruts:   0 Thi: 0.4999942 
  24 Rop: 32.76572570469 Str: 260 MRstruts:   0 Thi: 0.4999942 
  25 Rop: 32.76554226158 Str: 266 MRstruts:   0 Thi: 0.4999942 
  26 Rop: 32.76486993921 Str: 269 MRstruts:   0 Thi: 0.4999936 
  27 Rop: 32.76405655053 Str: 273 MRstruts:   0 Thi: 0.4999925 
  28 Rop: 32.76289715451 Str: 286 MRstruts:   0 Thi: 0.4999900 
  29 Rop: 32.76175888541 Str: 284 MRstruts:   0 Thi: 0.4999896 
  30 Rop: 32.76132005324 Str: 288 MRstruts:   0 Thi: 0.4999895 
  31 Rop: 32.76091922877 Str: 299 MRstruts:   0 Thi: 0.4999893 
  32 Rop: 32.76019419567 Str: 314 MRstruts:   0 Thi: 0.4999890 
  33 Rop: 32.75939474950 Str: 316 MRstruts:   0 Thi: 0.4999888 
  34 Rop: 32.75827612892 Str: 338 MRstruts:   0 Thi: 0.4999886 
  35 Rop: 32.75772352306 Str: 366 MRstruts:   0 Thi: 0.4999884 
  36 Rop: 32.75687746597 Str: 364 MRstruts:   0 Thi: 0.4999880 
  37 Rop: 32.75631487029 Str: 374 MRstruts:   0 Thi: 0.4999876 
  38 Rop: 32.75572873109 Str: 390 MRstruts:   0 Thi: 0.4999872 
  39 Rop: 32.75526876380 Str: 397 MRstruts:   0 Thi: 0.4999869 
  40 Rop: 32.75489597581 Str: 400 MRstruts:   0 Thi: 0.4999869 
  41 Rop: 32.75431908139 Str: 422 MRstruts:   0 Thi: 0.4999869 
  42 Rop: 32.75378979729 Str: 449 MRstruts:   0 Thi: 0.4999869 
  43 Rop: 32.75338769312 Str: 465 MRstruts:   0 Thi: 0.4999865 
tsnnls: Fell back to pjv solver.
  44 Rop: 32.75290967076 Str: 496 MRstruts:   0 Thi: 0.4999859 
  45 Rop: 32.75261038490 Str: 510 MRstruts:   0 Thi: 0.4999857 
  46 Rop: 32.75235444636 Str: 533 MRstruts:   0 Thi: 0.4999855 
  47 Rop: 32.75216288671 Str: 557 MRstruts:   0 Thi: 0.4999838 
  48 Rop: 32.75205515542 Str: 566 MRstruts:   0 Thi: 0.4999825 
  49 Rop: 32.75188795621 Str: 577 MRstruts:   0 Thi: 0.4999809 
  50 Rop: 32.75131986408 Str: 619 MRstruts:   0 Thi: 0.4999786 
  51 Rop: 32.75126862597 Str: 615 MRstruts:   0 Thi: 0.4999779 
  52 Rop: 32.75111539593 Str: 618 MRstruts:   0 Thi: 0.4999765 
  53 Rop: 32.75105619639 Str: 609 MRstruts:   0 Thi: 0.4999757 
  54 Rop: 32.75067872882 Str: 637 MRstruts:   0 Thi: 0.4999736 
  55 Rop: 32.75063354784 Str: 636 MRstruts:   0 Thi: 0.4999735 
  56 Rop: 32.75061794121 Str: 637 MRstruts:   0 Thi: 0.4999733 
  57 Rop: 32.75060233362 Str: 638 MRstruts:   0 Thi: 0.4999730 
  58 Rop: 32.75057543084 Str: 635 MRstruts:   0 Thi: 0.4999727 
  59 Rop: 32.75045791279 Str: 632 MRstruts:   0 Thi: 0.4999710 
  60 Rop: 32.75042073659 Str: 629 MRstruts:   0 Thi: 0.4999705 
  61 Rop: 32.75041221431 Str: 628 MRstruts:   0 Thi: 0.4999704 
  62 Rop: 32.75039443405 Str: 627 MRstruts:   0 Thi: 0.4999701 
  63 Rop: 32.75015380336 Str: 634 MRstruts:   0 Thi: 0.4999700 
  64 Rop: 32.75014012847 Str: 636 MRstruts:   0 Thi: 0.4999700 
  65 Rop: 32.75013499669 Str: 635 MRstruts:   0 Thi: 0.4999699 
  66 Rop: 32.75013005889 Str: 633 MRstruts:   0 Thi: 0.4999698 
  67 Rop: 32.75012365729 Str: 637 MRstruts:   0 Thi: 0.4999697 
  68 Rop: 32.75009221705 Str: 633 MRstruts:   0 Thi: 0.4999694 
  69 Rop: 32.75008762391 Str: 634 MRstruts:   0 Thi: 0.4999693 
  70 Rop: 32.75008438525 Str: 630 MRstruts:   0 Thi: 0.4999693 
  71 Rop: 32.75008123909 Str: 630 MRstruts:   0 Thi: 0.4999692 
  72 Rop: 32.75007535751 Str: 632 MRstruts:   0 Thi: 0.4999692 
  73 Rop: 32.75006797817 Str: 630 MRstruts:   1 Thi: 0.4999692 
  74 Rop: 32.74986961342 Str:  10 MRstruts:   0 Thi: 0.4999965 
  75 Rop: 32.74974201687 Str:  17 MRstruts:   0 Thi: 0.4999965 
  76 Rop: 32.74961924399 Str:  38 MRstruts:   0 Thi: 0.4999965 
  77 Rop: 32.74945194649 Str:  61 MRstruts:   0 Thi: 0.4999965 
  78 Rop: 32.74932392844 Str: 100 MRstruts:   0 Thi: 0.4999965 
  79 Rop: 32.74921128304 Str: 165 MRstruts:   0 Thi: 0.4999965 
  80 Rop: 32.74913671712 Str: 245 MRstruts:   0 Thi: 0.4999965 
  81 Rop: 32.74906637855 Str: 299 MRstruts:   0 Thi: 0.4999965 
  82 Rop: 32.74902998689 Str: 329 MRstruts:   0 Thi: 0.4999965 
  83 Rop: 32.74897849649 Str: 392 MRstruts:   0 Thi: 0.4999965 
  84 Rop: 32.74895639478 Str: 436 MRstruts:   0 Thi: 0.4999965 
  85 Rop: 32.74893479147 Str: 475 MRstruts:   0 Thi: 0.4999964 
  86 Rop: 32.74893194868 Str: 480 MRstruts:   1 Thi: 0.4999964 
  87 Rop: 32.74892746031 Str: 487 MRstruts:   1 Thi: 0.4999964 
  88 Rop: 32.74892696999 Str: 488 MRstruts:   1 Thi: 0.4999964 
  89 Rop: 32.74892690622 Str: 488 MRstruts:   1 Thi: 0.4999964 
  90 Rop: 32.74892686244 Str: 488 MRstruts:   1 Thi: 0.4999964 
  91 Rop: 32.74892681858 Str: 488 MRstruts:   1 Thi: 0.4999964 
  92 Rop: 32.74892677464 Str: 489 MRstruts:   1 Thi: 0.4999964 
  93 Rop: 32.74892673063 Str: 490 MRstruts:   1 Thi: 0.4999964 
  94 Rop: 32.74892668958 Str: 490 MRstruts:   1 Thi: 0.4999964 
  95 Rop: 32.74892664845 Str: 490 MRstruts:   1 Thi: 0.4999964 
  96 Rop: 32.74892660731 Str: 490 MRstruts:   1 Thi: 0.4999964 
  97 Rop: 32.74892656609 Str: 490 MRstruts:   1 Thi: 0.4999964 
  98 Rop: 32.74892652480 Str: 490 MRstruts:   1 Thi: 0.4999964 
  99 Rop: 32.74892648343 Str: 490 MRstruts:   1 Thi: 0.4999964 
 100 Rop: 32.74892644198 Str: 491 MRstruts:   1 Thi: 0.4999964 
 101 Rop: 32.74892640199 Str: 491 MRstruts:   1 Thi: 0.4999964 
 102 Rop: 32.74892636192 Str: 493 MRstruts:   1 Thi: 0.4999964 
 103 Rop: 32.74892632171 Str: 493 MRstruts:   1 Thi: 0.4999964 
 104 Rop: 32.74892628142 Str: 494 MRstruts:   1 Thi: 0.4999964 
 105 Rop: 32.74892624245 Str: 494 MRstruts:   1 Thi: 0.4999964 
 106 Rop: 32.74892620340 Str: 494 MRstruts:   1 Thi: 0.4999964 
 107 Rop: 32.74892616428 Str: 495 MRstruts:   1 Thi: 0.4999964 
 108 Rop: 32.74892612565 Str: 495 MRstruts:   1 Thi: 0.4999964 
 109 Rop: 32.74892608693 Str: 495 MRstruts:   1 Thi: 0.4999964 
 110 Rop: 32.74892604813 Str: 495 MRstruts:   1 Thi: 0.4999964 
 111 Rop: 32.74892600926 Str: 495 MRstruts:   1 Thi: 0.4999964 
 112 Rop: 32.74892597030 Str: 495 MRstruts:   1 Thi: 0.4999964 
 113 Rop: 32.74892593127 Str: 495 MRstruts:   1 Thi: 0.4999964 
 114 Rop: 32.74892589215 Str: 496 MRstruts:   1 Thi: 0.4999964 
 115 Rop: 32.74892585299 Str: 496 MRstruts:   1 Thi: 0.4999964 
 116 Rop: 32.74892581375 Str: 496 MRstruts:   1 Thi: 0.4999964 
 117 Rop: 32.74892577442 Str: 496 MRstruts:   1 Thi: 0.4999964 
 118 Rop: 32.74892573500 Str: 496 MRstruts:   1 Thi: 0.4999964 
 119 Rop: 32.74892569549 Str: 496 MRstruts:   1 Thi: 0.4999964 
 120 Rop: 32.74892565588 Str: 497 MRstruts:   1 Thi: 0.4999964 
 121 Rop: 32.74892561936 Str: 497 MRstruts:   1 Thi: 0.4999964 
 122 Rop: 32.74892558274 Str: 498 MRstruts:   1 Thi: 0.4999964 
 123 Rop: 32.74892554690 Str: 498 MRstruts:   1 Thi: 0.4999964 
 124 Rop: 32.74892551096 Str: 498 MRstruts:   1 Thi: 0.4999964 
 125 Rop: 32.74892547493 Str: 498 MRstruts:   1 Thi: 0.4999964 
 126 Rop: 32.74892543881 Str: 498 MRstruts:   1 Thi: 0.4999964 
 127 Rop: 32.74892540259 Str: 498 MRstruts:   1 Thi: 0.4999964 
 128 Rop: 32.74892536628 Str: 498 MRstruts:   1 Thi: 0.4999964 
 129 Rop: 32.74892532988 Str: 498 MRstruts:   1 Thi: 0.4999964 
 130 Rop: 32.74892529337 Str: 497 MRstruts:   1 Thi: 0.4999964 
 131 Rop: 32.74892525677 Str: 497 MRstruts:   1 Thi: 0.4999964 
 132 Rop: 32.74892522007 Str: 497 MRstruts:   1 Thi: 0.4999964 
 133 Rop: 32.74892518327 Str: 497 MRstruts:   1 Thi: 0.4999964 
 134 Rop: 32.74892514637 Str: 497 MRstruts:   1 Thi: 0.4999964 
 135 Rop: 32.74892510937 Str: 498 MRstruts:   1 Thi: 0.4999964 
 136 Rop: 32.74892507259 Str: 498 MRstruts:   1 Thi: 0.4999964 
 137 Rop: 32.74892503571 Str: 498 MRstruts:   1 Thi: 0.4999964 
 138 Rop: 32.74892499872 Str: 498 MRstruts:   1 Thi: 0.4999964 
 139 Rop: 32.74892496163 Str: 498 MRstruts:   1 Thi: 0.4999964 
 140 Rop: 32.74892492443 Str: 498 MRstruts:   1 Thi: 0.4999964 
 141 Rop: 32.74892488712 Str: 498 MRstruts:   1 Thi: 0.4999964 
 142 Rop: 32.74892484971 Str: 498 MRstruts:   1 Thi: 0.4999964 
 143 Rop: 32.74892481218 Str: 498 MRstruts:   1 Thi: 0.4999964 
 144 Rop: 32.74892477454 Str: 498 MRstruts:   1 Thi: 0.4999964 
 145 Rop: 32.74892473678 Str: 498 MRstruts:   1 Thi: 0.4999964 
 146 Rop: 32.74892469891 Str: 498 MRstruts:   1 Thi: 0.4999964 
 147 Rop: 32.74892466093 Str: 499 MRstruts:   1 Thi: 0.4999964 
 148 Rop: 32.74892462294 Str: 500 MRstruts:   1 Thi: 0.4999964 
 149 Rop: 32.74892458482 Str: 500 MRstruts:   1 Thi: 0.4999964 
 150 Rop: 32.74892454659 Str: 500 MRstruts:   1 Thi: 0.4999964 
 151 Rop: 32.74892450823 Str: 501 MRstruts:   1 Thi: 0.4999964 
 152 Rop: 32.74892447136 Str: 501 MRstruts:   1 Thi: 0.4999964 
 153 Rop: 32.74892443437 Str: 502 MRstruts:   1 Thi: 0.4999964 
 154 Rop: 32.74892439844 Str: 502 MRstruts:   1 Thi: 0.4999964 
 155 Rop: 32.74892436240 Str: 502 MRstruts:   1 Thi: 0.4999964 
 156 Rop: 32.74892432626 Str: 502 MRstruts:   1 Thi: 0.4999964 
 157 Rop: 32.74892429000 Str: 502 MRstruts:   1 Thi: 0.4999964 
 158 Rop: 32.74892425363 Str: 502 MRstruts:   1 Thi: 0.4999964 
 159 Rop: 32.74892421714 Str: 503 MRstruts:   1 Thi: 0.4999964 
 160 Rop: 32.74892418079 Str: 503 MRstruts:   1 Thi: 0.4999964 
 161 Rop: 32.74892414431 Str: 503 MRstruts:   1 Thi: 0.4999964 
 162 Rop: 32.74892410772 Str: 503 MRstruts:   1 Thi: 0.4999964 
 163 Rop: 32.74892407100 Str: 503 MRstruts:   1 Thi: 0.4999964 
 164 Rop: 32.74892403417 Str: 503 MRstruts:   1 Thi: 0.4999964 
 165 Rop: 32.74892399721 Str: 503 MRstruts:   1 Thi: 0.4999964 
 166 Rop: 32.74892396013 Str: 503 MRstruts:   1 Thi: 0.4999964 
 167 Rop: 32.74892392292 Str: 503 MRstruts:   1 Thi: 0.4999964 
 168 Rop: 32.74892388559 Str: 503 MRstruts:   1 Thi: 0.4999964 
 169 Rop: 32.74892384812 Str: 503 MRstruts:   1 Thi: 0.4999964 
 170 Rop: 32.74892381053 Str: 503 MRstruts:   1 Thi: 0.4999964 
 171 Rop: 32.74892377281 Str: 503 MRstruts:   1 Thi: 0.4999964 
 172 Rop: 32.74892373495 Str: 503 MRstruts:   1 Thi: 0.4999964 
 173 Rop: 32.74892369695 Str: 503 MRstruts:   1 Thi: 0.4999964 
 174 Rop: 32.74892365881 Str: 503 MRstruts:   1 Thi: 0.4999964 
 175 Rop: 32.74892362054 Str: 503 MRstruts:   1 Thi: 0.4999964 
 176 Rop: 32.74892358212 Str: 503 MRstruts:   1 Thi: 0.4999964 
 177 Rop: 32.74892354356 Str: 504 MRstruts:   1 Thi: 0.4999964 
 178 Rop: 32.74892350597 Str: 503 MRstruts:   1 Thi: 0.4999964 
 179 Rop: 32.74892346824 Str: 503 MRstruts:   1 Thi: 0.4999964 
 180 Rop: 32.74892343037 Str: 503 MRstruts:   1 Thi: 0.4999964 
 181 Rop: 32.74892339235 Str: 503 MRstruts:   1 Thi: 0.4999964 
 182 Rop: 32.74892335418 Str: 503 MRstruts:   1 Thi: 0.4999964 
 183 Rop: 32.74892331586 Str: 505 MRstruts:   1 Thi: 0.4999964 
 184 Rop: 32.74892328046 Str: 503 MRstruts:   1 Thi: 0.4999964 
 185 Rop: 32.74892324493 Str: 504 MRstruts:   1 Thi: 0.4999964 
 186 Rop: 32.74892320932 Str: 504 MRstruts:   1 Thi: 0.4999964 
 187 Rop: 32.74892317358 Str: 504 MRstruts:   1 Thi: 0.4999964 
 188 Rop: 32.74892313769 Str: 505 MRstruts:   1 Thi: 0.4999964 
 189 Rop: 32.74892310315 Str: 505 MRstruts:   1 Thi: 0.4999964 
 190 Rop: 32.74892306847 Str: 505 MRstruts:   1 Thi: 0.4999964 
 191 Rop: 32.74892303364 Str: 505 MRstruts:   1 Thi: 0.4999964 
 192 Rop: 32.74892299867 Str: 505 MRstruts:   1 Thi: 0.4999964 
 193 Rop: 32.74892296356 Str: 505 MRstruts:   1 Thi: 0.4999964 
 194 Rop: 32.74892292830 Str: 506 MRstruts:   1 Thi: 0.4999964 
 195 Rop: 32.74892289293 Str: 506 MRstruts:   1 Thi: 0.4999964 
 196 Rop: 32.74892285742 Str: 506 MRstruts:   1 Thi: 0.4999964 
 197 Rop: 32.74892282174 Str: 506 MRstruts:   1 Thi: 0.4999964 
 198 Rop: 32.74892278592 Str: 506 MRstruts:   1 Thi: 0.4999964 
 199 Rop: 32.74892274993 Str: 506 MRstruts:   1 Thi: 0.4999964 
 200 Rop: 32.74892271378 Str: 506 MRstruts:   1 Thi: 0.4999964 
 201 Rop: 32.74892267747 Str: 506 MRstruts:   1 Thi: 0.4999964 
 202 Rop: 32.74892264099 Str: 506 MRstruts:   1 Thi: 0.4999964 
 203 Rop: 32.74892260435 Str: 508 MRstruts:   1 Thi: 0.4999964 
