Ridgerunner 2.3.1
Built Sep 13 2026, 00:43:43.
plCurve Version: 10.1.0
Octrope Version: 10.1.0
tsnnls Version: 2.5.1
Seeded from dev/random with seed 1659306896.
Loaded 1 component, 47 vertex plCurve from trefoil47.vect.
Saved copy of trefoil47.vect to ./trefoil47.rr/trefoil47.vect.
Curve has thickness 1.54794. Scaling to thickness 0.501.
Scaled curve has thickness 0.501.
 Autoscale selftest ok.
Rerez'd, autoscaled, eq'd file written to ./trefoil47.rr/trefoil47.atstart.vect.
Overstep tolerance: 0.000100 of thickness 0.500000 (0.499950) minminrad: 0.49997500
ridgerunner: Curses screen display disabled, using stdout.
             Define CURSES_DISPLAY to enable better screen display.
ridgerunner: Starting run. Will stop if 
               step number >= 5000 
               residual < 0 
               ropelength decrease over last 20 steps < -1000.

   1 Rop: 36.68996343890 Str:   0 MRstruts:   0 Thi: 0.5000015 
   2 Rop: 36.68999769764 Str:   1 MRstruts:   0 Thi: 0.5000000 
   3 Rop: 36.66687647726 Str:   1 MRstruts:   0 Thi: 0.4999996 
   4 Rop: 36.66685032902 Str:   2 MRstruts:   0 Thi: 0.4999996 
   5 Rop: 36.08036840390 Str:   8 MRstruts:   0 Thi: 0.4949835 
   6 Rop: 36.07859929174 Str:   2 MRstruts:   0 Thi: 0.4999999 
   7 Rop: 36.00000909104 Str:   3 MRstruts:   0 Thi: 0.4999891 
   8 Rop: 35.80775105680 Str:   4 MRstruts:   0 Thi: 0.4999462 
   9 Rop: 35.80772253587 Str:   2 MRstruts:   0 Thi: 0.5000000 
  10 Rop: 35.80768536611 Str:   3 MRstruts:   0 Thi: 0.5000000 
  11 Rop: 35.80762139550 Str:   3 MRstruts:   0 Thi: 0.5000000 
  12 Rop: 35.80762924786 Str:   4 MRstruts:   0 Thi: 0.4999998 
  13 Rop: 35.72607233916 Str:   5 MRstruts:   0 Thi: 0.4999781 
  14 Rop: 35.66787403888 Str:  13 MRstruts:   0 Thi: 0.4933974 
  15 Rop: 35.59561470703 Str:   2 MRstruts:   0 Thi: 0.4999849 
  16 Rop: 35.49467196928 Str:   3 MRstruts:   0 Thi: 0.4999648 
  17 Rop: 35.46530594015 Str:   5 MRstruts:   0 Thi: 0.4998716 
  18 Rop: 35.46523503136 Str:   1 MRstruts:   0 Thi: 0.5000000 
  19 Rop: 35.46524248654 Str:   2 MRstruts:   0 Thi: 0.4999998 
  20 Rop: 35.46153215024 Str:   3 MRstruts:   0 Thi: 0.4999995 
  21 Rop: 35.45543238984 Str:   7 MRstruts:   0 Thi: 0.4999167 
  22 Rop: 35.45542784013 Str:   2 MRstruts:   0 Thi: 0.4999999 
  23 Rop: 35.45379667374 Str:   3 MRstruts:   0 Thi: 0.4999997 
  24 Rop: 35.45375548691 Str:   4 MRstruts:   0 Thi: 0.4999997 
  25 Rop: 35.45247064956 Str:   5 MRstruts:   0 Thi: 0.4999994 
  26 Rop: 35.40680956771 Str:  10 MRstruts:   0 Thi: 0.4982018 
  27 Rop: 35.40652864505 Str:   2 MRstruts:   0 Thi: 0.5000000 
  28 Rop: 35.39522584009 Str:   3 MRstruts:   0 Thi: 0.4999987 
  29 Rop: 35.38144026980 Str:   3 MRstruts:   0 Thi: 0.4999987 
  30 Rop: 35.38139052535 Str:   4 MRstruts:   0 Thi: 0.4999987 
  31 Rop: 35.35437532221 Str:   4 MRstruts:   0 Thi: 0.4999974 
  32 Rop: 35.35425921625 Str:   5 MRstruts:   0 Thi: 0.4999974 
  33 Rop: 35.33646890426 Str:   6 MRstruts:   0 Thi: 0.4999933 
  34 Rop: 35.32349417251 Str:   7 MRstruts:   0 Thi: 0.4999931 
  35 Rop: 35.30900533003 Str:   8 MRstruts:   0 Thi: 0.4999915 
  36 Rop: 34.99292226433 Str:  16 MRstruts:   0 Thi: 0.4972056 
  37 Rop: 34.99280661179 Str:   2 MRstruts:   0 Thi: 0.5000000 
  38 Rop: 34.96362417712 Str:   3 MRstruts:   0 Thi: 0.4999970 
  39 Rop: 34.92848777121 Str:   5 MRstruts:   0 Thi: 0.4999450 
  40 Rop: 34.92819789230 Str:   1 MRstruts:   0 Thi: 0.5000000 
  41 Rop: 34.92820458101 Str:   2 MRstruts:   0 Thi: 0.4999998 
  42 Rop: 34.92656437014 Str:   3 MRstruts:   0 Thi: 0.4999998 
  43 Rop: 34.92581985007 Str:   4 MRstruts:   0 Thi: 0.4999998 
  44 Rop: 34.92447256549 Str:   5 MRstruts:   0 Thi: 0.4999996 
  45 Rop: 34.91831353006 Str:   5 MRstruts:   0 Thi: 0.4999996 
  46 Rop: 34.91829757666 Str:   6 MRstruts:   0 Thi: 0.4999996 
  47 Rop: 34.91691707075 Str:   7 MRstruts:   0 Thi: 0.4999996 
  48 Rop: 34.90928138037 Str:   7 MRstruts:   0 Thi: 0.4999994 
  49 Rop: 34.90924445755 Str:   8 MRstruts:   0 Thi: 0.4999994 
  50 Rop: 34.89128878062 Str:   9 MRstruts:   0 Thi: 0.4999980 
  51 Rop: 34.85892870820 Str:  11 MRstruts:   0 Thi: 0.4995519 
  52 Rop: 34.85494006569 Str:   2 MRstruts:   0 Thi: 0.4999996 
  53 Rop: 34.84647350095 Str:   2 MRstruts:   0 Thi: 0.4999995 
  54 Rop: 34.84642991031 Str:   3 MRstruts:   0 Thi: 0.4999995 
  55 Rop: 34.84585792629 Str:   4 MRstruts:   0 Thi: 0.4999995 
  56 Rop: 34.84144515000 Str:   5 MRstruts:   0 Thi: 0.4999995 
  57 Rop: 34.83930145785 Str:   8 MRstruts:   0 Thi: 0.4999861 
  58 Rop: 34.83724590889 Str:   9 MRstruts:   0 Thi: 0.4999859 
  59 Rop: 34.83446559734 Str:  11 MRstruts:   0 Thi: 0.4997245 
  60 Rop: 34.83446132325 Str:   2 MRstruts:   0 Thi: 0.4999999 
  61 Rop: 34.82740470353 Str:   3 MRstruts:   0 Thi: 0.4999998 
  62 Rop: 34.82598536021 Str:   3 MRstruts:   0 Thi: 0.4999998 
  63 Rop: 34.82597912280 Str:   4 MRstruts:   0 Thi: 0.4999997 
  64 Rop: 34.82579449233 Str:   5 MRstruts:   0 Thi: 0.4999997 
  65 Rop: 34.82559851403 Str:   6 MRstruts:   0 Thi: 0.4999997 
  66 Rop: 34.82533732755 Str:   7 MRstruts:   0 Thi: 0.4999997 
  67 Rop: 34.82520690356 Str:   8 MRstruts:   0 Thi: 0.4999997 
  68 Rop: 34.82225290324 Str:   9 MRstruts:   0 Thi: 0.4999997 
  69 Rop: 34.81883219464 Str:  12 MRstruts:   0 Thi: 0.4998258 
  70 Rop: 34.81883701529 Str:   2 MRstruts:   0 Thi: 0.4999998 
  71 Rop: 34.81446510580 Str:   5 MRstruts:   0 Thi: 0.4999847 
  72 Rop: 34.81366409979 Str:   5 MRstruts:   0 Thi: 0.4999846 
  73 Rop: 34.81245446283 Str:   7 MRstruts:   0 Thi: 0.4999846 
  74 Rop: 34.81161003350 Str:   8 MRstruts:   0 Thi: 0.4999844 
  75 Rop: 34.81038054373 Str:   9 MRstruts:   0 Thi: 0.4999844 
  76 Rop: 34.80654904700 Str:  10 MRstruts:   0 Thi: 0.4999844 
  77 Rop: 34.76921036638 Str:  17 MRstruts:   0 Thi: 0.4984230 
  78 Rop: 34.74577046812 Str:   1 MRstruts:   0 Thi: 0.4999994 
  79 Rop: 34.74574998481 Str:   2 MRstruts:   0 Thi: 0.4999994 
  80 Rop: 34.73169635362 Str:   3 MRstruts:   0 Thi: 0.4999977 
  81 Rop: 34.72341134193 Str:   4 MRstruts:   0 Thi: 0.4999976 
  82 Rop: 34.72320913087 Str:   5 MRstruts:   0 Thi: 0.4999976 
  83 Rop: 34.71109493734 Str:   6 MRstruts:   0 Thi: 0.4999971 
  84 Rop: 34.70484049500 Str:   7 MRstruts:   0 Thi: 0.4999970 
  85 Rop: 34.70321716522 Str:   8 MRstruts:   0 Thi: 0.4999970 
  86 Rop: 34.69778398773 Str:  10 MRstruts:   0 Thi: 0.4999784 
  87 Rop: 34.69520330654 Str:  12 MRstruts:   0 Thi: 0.4999782 
  88 Rop: 34.68731905055 Str:  17 MRstruts:   0 Thi: 0.4996947 
  89 Rop: 34.68730089761 Str:   2 MRstruts:   0 Thi: 0.5000000 
  90 Rop: 34.68203924027 Str:   3 MRstruts:   0 Thi: 0.4999999 
  91 Rop: 34.67877201231 Str:   3 MRstruts:   0 Thi: 0.4999999 
  92 Rop: 34.67875569384 Str:   4 MRstruts:   0 Thi: 0.4999999 
  93 Rop: 34.67811533544 Str:   5 MRstruts:   0 Thi: 0.4999998 
  94 Rop: 34.67792726006 Str:   6 MRstruts:   0 Thi: 0.4999998 
  95 Rop: 34.67791817123 Str:   7 MRstruts:   0 Thi: 0.4999998 
  96 Rop: 34.67684113469 Str:   8 MRstruts:   0 Thi: 0.4999997 
  97 Rop: 34.67218574470 Str:  10 MRstruts:   0 Thi: 0.4999918 
