Ridgerunner 2.3.1
Built Sep 13 2026, 00:43:43.
plCurve Version: 10.1.0
Octrope Version: 10.1.0
tsnnls Version: 2.5.1
Seeded from dev/random with seed -1536993344.
Loaded 12 component, 576 vertex plCurve from seed3141.vect.
Saved copy of seed3141.vect to ./seed3141.rr/seed3141.vect.
Curve has thickness 0.490363. Scaling to thickness 0.501.
Scaled curve has thickness 0.501.
 Autoscale selftest ok.
Rerez'd, autoscaled, eq'd file written to ./seed3141.rr/seed3141.atstart.vect.
Overstep tolerance: 0.000100 of thickness 0.500000 (0.499950) minminrad: 0.49997500
ridgerunner: Curses screen display disabled, using stdout.
             Define CURSES_DISPLAY to enable better screen display.
ridgerunner: Starting run. Will stop if 
               step number >= 300 
               residual < 0 
               ropelength decrease over last 20 steps < -1000.

   1 Rop: 756.94611885754 Str:   0 MRstruts:   0 Thi: 0.5000003 
   2 Rop: 756.94643627605 Str:   2 MRstruts:   0 Thi: 0.5000000 
   3 Rop: 756.93746994483 Str:   2 MRstruts:   0 Thi: 0.5000000 
   4 Rop: 756.93750268172 Str:   4 MRstruts:   0 Thi: 0.5000000 
   5 Rop: 756.76281815498 Str:   6 MRstruts:   0 Thi: 0.4999988 
   6 Rop: 756.75516404590 Str:   8 MRstruts:   0 Thi: 0.4999987 
   7 Rop: 756.74842115907 Str:  10 MRstruts:   0 Thi: 0.4999987 
   8 Rop: 756.58487163534 Str:  12 MRstruts:   0 Thi: 0.4999965 
   9 Rop: 756.51417911136 Str:  14 MRstruts:   0 Thi: 0.4999960 
  10 Rop: 756.47580134312 Str:  16 MRstruts:   0 Thi: 0.4999959 
  11 Rop: 756.28311419005 Str:  18 MRstruts:   0 Thi: 0.4999939 
  12 Rop: 756.17094401150 Str:  20 MRstruts:   0 Thi: 0.4999936 
  13 Rop: 756.15669304672 Str:  22 MRstruts:   0 Thi: 0.4999936 
  14 Rop: 756.01282239495 Str:  24 MRstruts:   0 Thi: 0.4999932 
  15 Rop: 755.82706369415 Str:  26 MRstruts:   0 Thi: 0.4999920 
  16 Rop: 755.82014933350 Str:  28 MRstruts:   0 Thi: 0.4999920 
  17 Rop: 755.56297803966 Str:  30 MRstruts:   0 Thi: 0.4999900 
  18 Rop: 755.51312680453 Str:  32 MRstruts:   0 Thi: 0.4999896 
  19 Rop: 755.48632026648 Str:  34 MRstruts:   0 Thi: 0.4999896 
  20 Rop: 755.25528356945 Str:  38 MRstruts:   0 Thi: 0.4999875 
  21 Rop: 755.08325461176 Str:  40 MRstruts:   0 Thi: 0.4999859 
  22 Rop: 754.95790793464 Str:  42 MRstruts:   0 Thi: 0.4999859 
  23 Rop: 754.68365467418 Str:  44 MRstruts:   0 Thi: 0.4999859 
  24 Rop: 754.59679044570 Str:  54 MRstruts:   0 Thi: 0.4995771 
  25 Rop: 754.54476437364 Str:   4 MRstruts:   0 Thi: 0.5000000 
  26 Rop: 754.54373552234 Str:   8 MRstruts:   0 Thi: 0.4999997 
  27 Rop: 754.41247195442 Str:   8 MRstruts:   0 Thi: 0.4999993 
  28 Rop: 754.41186427339 Str:  10 MRstruts:   0 Thi: 0.4999993 
  29 Rop: 754.40804989526 Str:  12 MRstruts:   0 Thi: 0.4999993 
  30 Rop: 754.40480070093 Str:  14 MRstruts:   0 Thi: 0.4999993 
