# Curvature data file for data/reference/trefoil_3.1_plcurve_kl400.vect output from plcurvature
# VECT file has 1 components, 400 verts 
# cp = component #, vt = vertex # 
# s = arclength from vertex 0 to vertex (vt+1), k = curvature, 1/k radius of curvature 
# cp    vt     s     k       1/k     
      0      0 0.0812101 0.503399   1.9865 
      0      1 0.163695 0.526376  1.89978 
      0      2 0.245065 0.503024  1.98798 
      0      3 0.327332 0.529426  1.88884 
      0      4 0.40894 0.518862  1.92729 
      0      5 0.490929 0.539753   1.8527 
      0      6 0.572692 0.535825  1.86628 
      0      7 0.654682 0.536143  1.86517 
      0      8 0.736464 0.533906  1.87299 
      0      9 0.818357 0.550883  1.81527 
      0     10 0.900233 0.545965  1.83162 
      0     11 0.982086  0.56051  1.78409 
      0     12 1.06408 0.586436  1.70522 
      0     13 1.14559 0.663146  1.50796 
      0     14 1.22791 0.666922  1.49943 
      0     15 1.31023 0.707002  1.41442 
      0     16 1.39003 0.975399  1.02522 
      0     17 1.47306  1.00002 0.999978 
      0     18 1.55385 0.627363  1.59397 
      0     19 1.63712 0.475302  2.10393 
      0     20 1.71934 0.616748  1.62141 
      0     21 1.80011 0.498269  2.00695 
      0     22 1.88285  0.79008  1.26569 
      0     23 1.96352  1.00003 0.999972 
      0     24 2.04667 0.931035  1.07407 
      0     25 2.12774 0.680472  1.46957 
      0     26 2.21057 0.637839  1.56779 
      0     27 2.29152 0.606736  1.64816 
      0     28 2.37423 0.617283     1.62 
      0     29 2.4553 0.581199  1.72058 
      0     30 2.53788  0.56939  1.75627 
      0     31 2.61911 0.539693   1.8529 
      0     32 2.70165  0.53563  1.86696 
      0     33 2.78284 0.537081  1.86192 
      0     34 2.86548 0.519172  1.92614 
      0     35 2.94659 0.528441  1.89236 
      0     36 3.02893 0.549431  1.82007 
      0     37 3.11083 0.482403  2.07296 
      0     38 3.1923 0.545444  1.83337 
      0     39 3.27465 0.521889  1.91612 
      0     40 3.35609  0.50349  1.98614 
      0     41 3.43833 0.520323  1.92188 
      0     42 3.5199 0.503347   1.9867 
      0     43 3.60203 0.509209  1.96383 
      0     44 3.68364 0.506762  1.97331 
      0     45 3.76569 0.510836  1.95758 
      0     46 3.84748 0.500123  1.99951 
      0     47 3.92943 0.506437  1.97458 
      0     48 4.01114 0.508572  1.96629 
      0     49 4.09323 0.501749  1.99303 
      0     50 4.17482 0.506674  1.97366 
      0     51 4.25705 0.499227   2.0031 
      0     52 4.33842 0.515429  1.94013 
      0     53 4.42094 0.494359  2.02282 
      0     54 4.50213 0.509708  1.96191 
      0     55 4.58458  0.51665  1.93555 
      0     56 4.6661 0.484027    2.066 
      0     57 4.74807 0.522945  1.91225 
      0     58 4.82992 0.489372  2.04343 
      0     59 4.9118 0.500562  1.99776 
      0     60 4.99368 0.502891   1.9885 
      0     61 5.0755 0.501941  1.99227 
      0     62 5.15748 0.497014  2.01202 
      0     63 5.23918 0.507792  1.96931 
      0     64 5.32127 0.496966  2.01221 
      0     65 5.40283 0.507876  1.96898 
      0     66 5.48512 0.495381  2.01865 
      0     67 5.56646 0.513406  1.94778 
      0     68 5.6489 0.497719  2.00917 
      0     69 5.73031 0.494294  2.02309 
      0     70 5.81248  0.51494  1.94197 
      0     71 5.89419 0.492848  2.02902 
      0     72 5.97611 0.506179  1.97559 
      0     73 6.05794 0.498944  2.00423 
      0     74 6.13985  0.50144  1.99426 
      0     75 6.22168 0.501274  1.99492 
      0     76 6.30363 0.501173  1.99532 
      0     77 6.38534 0.505307    1.979 
      0     78 6.4674 0.496949  2.01228 
      0     79 6.54913 0.498588  2.00566 
      0     80 6.63108 0.507188  1.97166 
      0     81 6.71294 0.496453  2.01429 
      0     82 6.79475 0.505831  1.97695 
      0     83 6.8767 0.492604  2.03003 
      0     84 6.95844 0.503131  1.98755 
      0     85 7.04045 0.501011  1.99597 
      0     86 7.12224 0.499429  2.00229 
      0     87 7.20414 0.506394  1.97475 
      0     88 7.28597 0.503919  1.98445 
      0     89 7.36795 0.493637  2.02578 
      0     90 7.44967 0.503885  1.98458 
      0     91 7.53164 0.504228  1.98323 
      0     92 7.61344  0.49716  2.01142 
      0     93 7.69536 0.503491  1.98613 
      0     94 7.77717 0.502308  1.99081 
      0     95 7.85911 0.498935  2.00427 
      0     96 7.94088 0.502961  1.98823 
      0     97 8.0229 0.498639  2.00546 
      0     98 8.10451 0.511892  1.95354 
      0     99 8.18679 0.492079  2.03219 
      0    100 8.26812 0.512986  1.94937 
      0    101 8.35062 0.493416  2.02669 
      0    102 8.43188 0.505059  1.97997 
      0    103 8.51423 0.513021  1.94924 
      0    104 8.59574 0.489016  2.04492 
      0    105 8.67786  0.51018  1.96009 
      0    106 8.75954 0.497344  2.01068 
      0    107 8.84155 0.507204   1.9716 
      0    108 8.92329 0.499631  2.00148 
      0    109 9.00529 0.501039  1.99585 
      0    110 9.08702 0.504218  1.98327 
      0    111 9.16905 0.499522  2.00192 
      0    112 9.25073 0.503191  1.98732 
      0    113 9.33281 0.500273  1.99891 
      0    114 9.41451  0.49787  2.00856 
      0    115 9.49649 0.505762  1.97721 
      0    116 9.57821 0.508422  1.96687 
      0    117 9.66028 0.494923  2.02052 
      0    118 9.74195 0.501864  1.99257 
      0    119 9.82397 0.505536   1.9781 
      0    120 9.90573 0.500948  1.99622 
      0    121 9.98768 0.504543  1.98199 
      0    122 10.0695 0.503714  1.98525 
      0    123 10.1514 0.503882  1.98459 
      0    124 10.2333 0.502259    1.991 
      0    125 10.3151 0.506091  1.97593 
      0    126 10.397 0.506751  1.97336 
      0    127 10.4789 0.496769  2.01301 
